track.name,Song_title,danceability,energy,key,key_name,loudness,mode,mode_name,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,track.preview_url,track.uri
Never Turnin' Back,Never Turnin' Back,0.563,0.561,2,D,-6.818,0,minor,0.0268,0.0676,2.45e-4,0.206,0.709,141.764,1VhMaP0K4UpPZWbxrGB4IO,https://p.scdn.co/mp3-preview/e3fd869661d75f4faa5b60b31448792a8307a37f?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1VhMaP0K4UpPZWbxrGB4IO
Danger Behind the Wheel,Danger Behind the Wheel,0.569,0.895,6,F#,-4.879,0,minor,0.0541,0.0207,8.6e-6,0.141,0.644,126.123,6qVL3WmCO8ybEJtHZDDMHq,https://p.scdn.co/mp3-preview/fb752e147a98cd908a02b4558d0f05e4846b3ff2?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6qVL3WmCO8ybEJtHZDDMHq
Rose Room,Rose Room,0.531,0.189,8,G#,-18.532,1,major,0.0482,0.72,0.0646,0.0932,0.79,94.128,21ZM0KeAJYeoeQTiDFptmP,https://p.scdn.co/mp3-preview/976456583b8ab525e0e9891da4a27db1aaefd4b5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:21ZM0KeAJYeoeQTiDFptmP
Riding Down To Mexico,Riding Down To Mexico,0.709,0.299,7,G,-14.696,1,major,0.0455,0.906,0.00127,0.11,0.784,129.058,0SMCrhJbrir0pBg6ghyP9u,https://p.scdn.co/mp3-preview/6c8e425c9b532561728256ef1ea7206eb9c28169?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0SMCrhJbrir0pBg6ghyP9u
Frog Legs Rag,Frog Legs Rag,0.582,0.256,8,G#,-19.731,1,major,0.041,0.991,0.789,0.12,0.921,104.118,0IoqpZ55F042xPuYCbP7NG,https://p.scdn.co/mp3-preview/58c224352d0f417f54b85051a0cd21b4a4f47a5b?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0IoqpZ55F042xPuYCbP7NG
Ghostwriter,Ghostwriter,0.685,0.662,7,G,-6.04,1,major,0.0511,0.396,4.58e-6,0.0671,0.817,135.8,4MDPPDgEyvvTBXjA4om67x,https://p.scdn.co/mp3-preview/6c6f6eff1c155b6735e0a43356e25b7148e5c1fe?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4MDPPDgEyvvTBXjA4om67x
Ox Driving Song,Ox Driving Song,0.579,0.697,2,D,-6.845,1,major,0.0598,0.398,1.2e-4,0.231,0.964,146.815,1C6sMPFUuI87mJAXeLLwvL,https://p.scdn.co/mp3-preview/086bee3fd7e5fb240a2d6df9615c1b89a2cab6ff?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1C6sMPFUuI87mJAXeLLwvL
The River,The River,0.523,0.353,7,G,-10.798,1,major,0.0303,0.339,0.00129,0.322,0.217,114.012,6C0oKwZduayza7Cy05LCc0,https://p.scdn.co/mp3-preview/a9c79f0f606db34ec5fd63dd072ff9b2e5b2b77f?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6C0oKwZduayza7Cy05LCc0
I Wanna Say Hello,I Wanna Say Hello,0.725,0.424,0,C,-11.224,1,major,0.0677,0.919,0,0.156,0.924,137.314,7MwPFz1EtqAN4IzK8FhSHk,https://p.scdn.co/mp3-preview/a60aa056dbdd80fb70008c1dc9ca02cdb803b73e?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7MwPFz1EtqAN4IzK8FhSHk
Birmingham Jail,Birmingham Jail,0.315,0.576,9,A,-5.638,0,minor,0.0479,0.444,0,0.0871,0.519,165.228,5GzKO1m8Vacz5gXXyFEunE,NA,spotify:track:5GzKO1m8Vacz5gXXyFEunE
Ricky Dee,Ricky Dee,0.673,0.876,9,A,-5.136,1,major,0.0419,0.792,0,0.147,0.95,120.783,6rht2AV1nxoMlJtOnXI5WE,https://p.scdn.co/mp3-preview/12f09909fedb97e81b6d1574a9793466df338b1f?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6rht2AV1nxoMlJtOnXI5WE
Cars And Parties,Cars And Parties,0.537,0.633,10,A#,-8.313,1,major,0.0251,0.252,8.57e-5,0.107,0.687,108.427,2xX5Vtnzlck91QWcvgxxiD,https://p.scdn.co/mp3-preview/8b01ee7e40252b5e811ff3b7caba1f4d8ff26d19?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2xX5Vtnzlck91QWcvgxxiD
Help You,Help You,0.398,0.78,4,E,-5.306,1,major,0.0359,0.242,0,0.342,0.772,149.503,2SLLm0Dt3JHr0IEREeH0kj,https://p.scdn.co/mp3-preview/ef3680c01aa4c7b4a9371e5bea15a96d1b69b6d5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2SLLm0Dt3JHr0IEREeH0kj
Thirty Days in the Workhouse,Thirty Days in the Workhouse,0.472,0.6,5,F,-9.537,1,major,0.112,0.143,0.00126,0.155,0.574,135.38,4rFvcwKUntQt6pkNBW6Mlx,https://p.scdn.co/mp3-preview/ae96e5d27f4c9247190c785d297fd2d142381cd2?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4rFvcwKUntQt6pkNBW6Mlx
Clear Blue Sky,Clear Blue Sky,0.47,0.74,7,G,-7.737,1,major,0.0295,0.167,0.945,0.275,0.886,135.764,5SLyEPQQMO55p7hRmnssi1,NA,spotify:track:5SLyEPQQMO55p7hRmnssi1
Goodbye Old Paint,Goodbye Old Paint,0.704,0.22,4,E,-10.797,1,major,0.0262,0.958,4.79e-4,0.142,0.695,75.525,4vm4FwitAofwVZ6ROEInM9,https://p.scdn.co/mp3-preview/e18845e7861ca7badd65edcd729ccc759c800332?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4vm4FwitAofwVZ6ROEInM9
I Wish I Was a Headlight,I Wish I Was a Headlight,0.697,0.382,9,A,-8.046,1,major,0.0379,0.609,0,0.239,0.825,107.985,2W8w4oZ9nccs3wceXIo8yB,https://p.scdn.co/mp3-preview/eb20c9fe763c00f488dc2d6e42c1c2c34d0f8b12?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2W8w4oZ9nccs3wceXIo8yB
Birmingham Jail,Birmingham Jail,0.71,0.122,2,D,-12.837,1,major,0.0307,0.75,0.00234,0.135,0.654,106.91,6v5jIti1eD8Xj9WpCC4L9F,https://p.scdn.co/mp3-preview/7a6ff9620d70ca576ad0c490ae914fbd58f14764?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6v5jIti1eD8Xj9WpCC4L9F
Red Clay Road,Red Clay Road,0.461,0.717,10,A#,-7.327,1,major,0.0282,0.492,0.721,0.31,0.885,159.927,2UHLlGL2gkAGJIt0Zl0pal,https://p.scdn.co/mp3-preview/33bdd5b89962ac32c842c7512e4e242731c70532?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2UHLlGL2gkAGJIt0Zl0pal
After Today,After Today,0.454,0.0957,0,C,-13.864,1,major,0.0359,0.96,4.8e-4,0.11,0.165,79.376,33vOVri0nIS51sDgqyqoDU,NA,spotify:track:33vOVri0nIS51sDgqyqoDU
Mr and Mrs Smith,Mr and Mrs Smith,0.514,0.829,2,D,-5.322,1,major,0.031,0.00545,6.12e-4,0.0681,0.291,130.055,2X91TCRElB5asH2rmmI5fo,https://p.scdn.co/mp3-preview/eb453e96278c84058735c27a62cc6ee1f7eb67a5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2X91TCRElB5asH2rmmI5fo
Better Do It Now,Better Do It Now,0.578,0.29,3,D#,-15.696,1,major,0.1,0.753,0.844,0.104,0.849,187.103,0eLMWVpqki9Xp7fIt7ZHjG,https://p.scdn.co/mp3-preview/5e5f9b28bf5dfbc9b170678c9f5c44e8765fffb5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0eLMWVpqki9Xp7fIt7ZHjG
Little Wooden Church,Little Wooden Church,0.338,0.204,11,B,-13.237,1,major,0.0516,0.966,0.00233,0.129,0.249,59.657,3BMPGBCQiga87DG4ZnFnnK,NA,spotify:track:3BMPGBCQiga87DG4ZnFnnK
Runaway Puppy,Runaway Puppy,0.497,0.733,6,F#,-6.961,0,minor,0.0652,0.215,0.00101,0.086,0.415,104.301,4U061tvhqnsqXiwv7Wy16o,https://p.scdn.co/mp3-preview/32bce8b9fbfd7faab0e3e814e5d68c87378e87de?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4U061tvhqnsqXiwv7Wy16o
Chantiers Navals,Chantiers Navals,0.0643,0.0095,2,D,-25.897,0,minor,0.0542,0.866,0.953,0.111,0.0323,71.757,2TZmOPHiH4SFilO7YoVtNR,https://p.scdn.co/mp3-preview/63ba6149f8bef42c248600ef62e6860289b138a0?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2TZmOPHiH4SFilO7YoVtNR
Whirlwind Dance,Whirlwind Dance,0.471,0.44,4,E,-19.393,0,minor,0.128,0.00487,0.902,0.106,0.272,169.47,670EMjYclGjCv8sIjRTCXW,https://p.scdn.co/mp3-preview/0233ba8f84f692414d66e2c988c2b1289cacd875?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:670EMjYclGjCv8sIjRTCXW
Lysine,Lysine,0.809,0.749,0,C,-6.814,1,major,0.0553,0.00112,0.097,0.0569,0.714,101.88,0M9aZPwt9ROMYtVOuezX9t,https://p.scdn.co/mp3-preview/6d96674627a7f8d1de4cbcd9a493b5d6766a40f2?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0M9aZPwt9ROMYtVOuezX9t
Mercy,Mercy,0.542,0.695,11,B,-8.395,0,minor,0.361,0.596,0.306,0.0904,0.825,158.268,0dtmgRnSrckT7IkmUv9ZV0,https://p.scdn.co/mp3-preview/cd03a839a1e00fcde039f99182b901da8c8828e6?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0dtmgRnSrckT7IkmUv9ZV0
Run the Tape,Run the Tape,0.783,0.474,11,B,-15.597,0,minor,0.486,0.0128,0.882,0.297,0.4,87.068,0Q6SuCtlUApNqYsKpDWlwO,https://p.scdn.co/mp3-preview/7cc47aea37a72306beea8673ac4b2ee38277cd7c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0Q6SuCtlUApNqYsKpDWlwO
Waking Up - Instrumental,Waking Up - Instrumental,0.591,0.661,6,F#,-9.622,0,minor,0.0285,0.0626,0.906,0.0978,0.0991,125.007,0LtNxXqnptQhLdnsq3ViBV,https://p.scdn.co/mp3-preview/7686fb148e42cb913074b8e4555726a42784e769?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0LtNxXqnptQhLdnsq3ViBV
Quittin' Time,Quittin' Time,0.761,0.833,7,G,-5.416,0,minor,0.0317,0.0207,0.882,0.397,0.783,124.976,4ctmWvyGFz7sZgephM7GyP,https://p.scdn.co/mp3-preview/1290e532b9784ef1e6d67bc2d4e6865ce1ed2279?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4ctmWvyGFz7sZgephM7GyP
Presenterator,Presenterator,0.594,0.552,5,F,-11.951,1,major,0.0284,1.76e-5,0.724,0.11,0.513,130.049,25oGlmITzv3o22UDAI8jlm,https://p.scdn.co/mp3-preview/e570931b22715739ba3e33b388c628efd8c80aa2?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:25oGlmITzv3o22UDAI8jlm
Stars,Stars,0.767,0.948,4,E,-6.225,0,minor,0.0544,0.0376,0.871,0.148,0.251,119.995,12cE7tSo1RvQPHizUfkJND,https://p.scdn.co/mp3-preview/de7b79b8eb9a71c164a7de37acf13822c5ae95ae?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:12cE7tSo1RvQPHizUfkJND
How Exciting,How Exciting,0.827,0.806,11,B,-9.401,1,major,0.134,0.0664,0.603,0.145,0.796,116.495,22Vu2ckXfkAwylo5xM0HKX,https://p.scdn.co/mp3-preview/a2c59a571be367fff9f72ee00285be614361461e?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:22Vu2ckXfkAwylo5xM0HKX
Divider,Divider,0.58,0.0557,8,G#,-31.855,1,major,0.0861,0.918,0.959,0.0932,0.34,174.059,7nYXrepLTmVqg4dpfDYjTZ,https://p.scdn.co/mp3-preview/17347d865bcc49cc1b5ed1047ab2f911d984cbf7?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7nYXrepLTmVqg4dpfDYjTZ
Oh Wee,Oh Wee,0.314,0.758,4,E,-3.778,1,major,0.109,0.188,0.0081,0.112,0.616,87.312,0s8MuH1xqaWWGBYaUWPbS8,https://p.scdn.co/mp3-preview/f1e121035b230335d528c71f6db67b149cdd4bc2?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0s8MuH1xqaWWGBYaUWPbS8
Destination - Original Mix,Destination - Original Mix,0.8,0.876,5,F,-8.65,0,minor,0.0433,0.0823,0.824,0.11,0.888,104.979,34DDReidF7OpglxisyPhAU,https://p.scdn.co/mp3-preview/89e298436f0d98c80bb9289e61e9cae32b3af87d?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:34DDReidF7OpglxisyPhAU
sTEPPIN iN Heaven,sTEPPIN iN Heaven,0.603,0.646,7,G,-6.032,1,major,0.254,0.0979,0,0.166,0.517,171.107,0uexrSp7NL9u0Xqu8YjbOB,https://p.scdn.co/mp3-preview/d5e5d664fdebefb339c3bf11ad0f513ddec2c53c?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0uexrSp7NL9u0Xqu8YjbOB
Expedition Chant Cup,Expedition Chant Cup,0.437,0.797,7,G,-5.138,0,minor,0.0724,0.002,0.906,0.141,0.147,179.997,3U5F49DyfR8lKR35HdPPgN,https://p.scdn.co/mp3-preview/66fd36a4d8248ea2c7f2b97bc1778c874eb307f3?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3U5F49DyfR8lKR35HdPPgN
Overlay Star - Original Mix,Overlay Star - Original Mix,0.657,0.643,1,C#,-7.451,1,major,0.0346,6.97e-4,0.759,0.163,0.254,86.02,5g92m7TeQX1fg4btAa1dak,https://p.scdn.co/mp3-preview/3a46d795b84e3392e8fc8ea3fbedd23073ffee51?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:5g92m7TeQX1fg4btAa1dak
listen before i go,listen before i go,0.319,0.0561,0,C,-23.023,1,major,0.045,0.935,0.00384,0.388,0.082,79.764,0tMSssfxAL2oV8Vri0mFHE,NA,spotify:track:0tMSssfxAL2oV8Vri0mFHE
Night Drive,Night Drive,0.568,0.839,7,G,-6.138,1,major,0.0995,0.168,0.827,0.0969,0.942,127.873,1ld1S5JtsmJk1Dh8w3MiYZ,https://p.scdn.co/mp3-preview/f6a68aea2f5229eef3956fa977b92d4fa5193127?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1ld1S5JtsmJk1Dh8w3MiYZ
Not Found,Not Found,0.818,0.384,2,D,-7.79,0,minor,0.0754,0.0617,0.524,0.123,0.5,94.008,0DGJOumOLaqhe5Hh6ALqVC,https://p.scdn.co/mp3-preview/47e9697c1ea056194c7f5f6ca2edcd04f97ebde3?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0DGJOumOLaqhe5Hh6ALqVC
LA,LA,0.189,0.303,0,C,-28.208,0,minor,0.0915,0.939,0.921,0.682,0.373,74.616,2egXy8Fo7ZvKYiiZ9cAQ7l,https://p.scdn.co/mp3-preview/bf636fd11587f6b360e6f0d17b0b91f5b325e22b?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2egXy8Fo7ZvKYiiZ9cAQ7l
Neurociencia,Neurociencia,0.206,0.658,1,C#,-9.149,0,minor,0.0542,0.472,0.914,0.135,0.033,173.128,64hIZK7RhaCczR2VyXITeF,https://p.scdn.co/mp3-preview/859ba8bc2177b92cea2afbd421a7c983c7133a30?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:64hIZK7RhaCczR2VyXITeF
Pink Fuzz!,Pink Fuzz!,0.392,0.704,0,C,-6.405,1,major,0.0448,0.508,0.79,0.0808,0.611,189.959,06hFfsNqGq6m5pA2m1lwAz,https://p.scdn.co/mp3-preview/0f6c8645e1185927d70d40da0f6b8501a0529ddd?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:06hFfsNqGq6m5pA2m1lwAz
Beryllos,Beryllos,0.607,0.681,7,G,-13.322,1,major,0.0273,0.365,0.913,0.107,0.106,142.014,51sJdiWD7N3c0kV3UtWTrr,https://p.scdn.co/mp3-preview/b63f71fd1626477ae458443f4795cb97da8e61cf?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:51sJdiWD7N3c0kV3UtWTrr
Summer,Summer,0.621,0.316,7,G,-17.065,1,major,0.0356,0.932,0.929,0.0386,0.566,129.995,6jSoXa2sV4YErvsYEAGcft,https://p.scdn.co/mp3-preview/af153c01cca86e93db7e3da2fa87be153f3e1346?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6jSoXa2sV4YErvsYEAGcft
القذافي الأمازون الحرس,القذافي الأمازون الحرس,0.615,0.818,9,A,-8.179,1,major,0.065,0.00387,0.864,0.116,0.18,119.934,0OR89YyY6EiqLCO3lxHUGx,https://p.scdn.co/mp3-preview/7e92bfa11628dd3ef5bf3c81f05af4bd5cd2fba5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0OR89YyY6EiqLCO3lxHUGx
Like Home,Like Home,0.265,0.277,2,D,-15.712,1,major,0.0324,0.973,0.771,0.669,0.0389,112.458,0muPsaysTFsIIpTTvfIB6n,https://p.scdn.co/mp3-preview/892265adf7df9e20e89a378fa2ed018fd9d599f3?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0muPsaysTFsIIpTTvfIB6n
Hash Smuggler's Blues,Hash Smuggler's Blues,0.7,0.282,2,D,-12.737,0,minor,0.0294,0.73,0.877,0.11,0.168,98.601,2Id7wfEXfpVxanV7OhFiLw,https://p.scdn.co/mp3-preview/632d8b0d726b28f6742711156a2410189aecfd6d?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2Id7wfEXfpVxanV7OhFiLw
Burning School,Burning School,0.338,0.507,10,A#,-10.793,1,major,0.0352,0.974,0.916,0.11,0.0353,125.076,2PlIqAjDbtsk2fR3tl5F0q,https://p.scdn.co/mp3-preview/506c409dedce3894bc98b6d7d4b0dbf3075c36a5?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2PlIqAjDbtsk2fR3tl5F0q
Broken Spell,Broken Spell,0.346,0.573,2,D,-8.336,1,major,0.0351,0.576,1.62e-4,0.245,0.563,87.872,0BqYieNhZk698MtuD73bGA,https://p.scdn.co/mp3-preview/3f33432bd6186adbaaa4046709d8292216c0fdf2?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0BqYieNhZk698MtuD73bGA
Old Strange,Old Strange,0.311,0.389,0,C,-12.867,1,major,0.0273,0.804,0.708,0.107,0.627,174.491,1D4Vky2ahLps2vwB41MAse,https://p.scdn.co/mp3-preview/8a0e465efe20cd6ca935f1ddcf76ffed46788892?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1D4Vky2ahLps2vwB41MAse
Old Strange,Old Strange,0.311,0.389,0,C,-12.867,1,major,0.0273,0.804,0.708,0.107,0.627,174.491,1D4Vky2ahLps2vwB41MAse,https://p.scdn.co/mp3-preview/8a0e465efe20cd6ca935f1ddcf76ffed46788892?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:1D4Vky2ahLps2vwB41MAse
Its All Right,Its All Right,0.83,0.752,6,F#,-6.448,0,minor,0.165,0.145,0,0.282,0.771,95.983,7nMvpRExSUSSH7Wfw4E13h,https://p.scdn.co/mp3-preview/4b454a7091175530c1d0d8096999bfea20325fad?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7nMvpRExSUSSH7Wfw4E13h
Harmless Blues,Harmless Blues,0.655,0.514,7,G,-8.25,0,minor,0.0247,0.195,8.33e-6,0.132,0.527,87.168,3wTqet6DVASFa3zVUgOzfK,https://p.scdn.co/mp3-preview/467b6740628148c38ed3a5ae17f2027941159084?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3wTqet6DVASFa3zVUgOzfK
Good Night Heart,Good Night Heart,0.692,0.064,10,A#,-17.136,0,minor,0.151,0.906,0,0.189,0.161,47.608,33qjT2VExKMMVOety5ZJOZ,https://p.scdn.co/mp3-preview/cf55b7e3cd228cb232296aaf43333fbe484245ae?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:33qjT2VExKMMVOety5ZJOZ
Solemn Ground,Solemn Ground,0.571,0.636,6,F#,-6.2,0,minor,0.0885,0.153,0.0128,0.107,0.701,130.151,16bkFyNokX111e8Hr731WH,https://p.scdn.co/mp3-preview/3b17ddc35aaf1584f876f894c18e707f9a0ce247?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:16bkFyNokX111e8Hr731WH
Cattails,Cattails,0.5,0.282,9,A,-11.703,1,major,0.0292,0.739,0.959,0.164,0.274,153.998,4m2M0cHKabmJiX9PXbeKRw,https://p.scdn.co/mp3-preview/d53afc3e32002a2426004f73a39e450a4493fa86?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4m2M0cHKabmJiX9PXbeKRw
Grass Above My Head,Grass Above My Head,0.312,0.332,2,D,-11.741,1,major,0.0334,0.303,0.914,0.0935,0.178,96.578,3M40DY6ksnxfdh7remQrWm,https://p.scdn.co/mp3-preview/c7b2b206db469855f47b33e22abcbecec11a357e?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3M40DY6ksnxfdh7remQrWm
Mona Lisa,Mona Lisa,0.551,0.788,7,G,-10.594,1,major,0.0337,0.339,5.82e-4,0.0945,0.792,124.995,2XYRxeXd56lzqTBzO41ARO,https://p.scdn.co/mp3-preview/a91ffd0ee84b85c86d95c37db29ab8c430c38a73?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2XYRxeXd56lzqTBzO41ARO
Whoopee Ti Yi Yo,Whoopee Ti Yi Yo,0.707,0.38,0,C,-7.873,1,major,0.0404,0.975,0,0.142,0.734,84.171,3xtJyWD9JxzuTbvawSCUHf,NA,spotify:track:3xtJyWD9JxzuTbvawSCUHf
Wafternoon,Wafternoon,0.546,0.74,1,C#,-6.39,1,major,0.173,0.579,1.97e-5,0.552,0.805,140.594,0ADGgWYLvpoS06eKZsm8P0,https://p.scdn.co/mp3-preview/23c82796f8d2185bd9679703733067de86b89986?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0ADGgWYLvpoS06eKZsm8P0
Flirt,Flirt,0.807,0.327,2,D,-12.731,0,minor,0.0456,0.76,5.19e-4,0.11,0.739,121.462,7lVGiRlNzKa9eVbet7NB5C,https://p.scdn.co/mp3-preview/1b2e7982c45d72cf924e9eba4e99edbaacb06b7e?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:7lVGiRlNzKa9eVbet7NB5C
Past Has Not Passed,Past Has Not Passed,0.197,0.337,5,F,-13.986,1,major,0.0326,0.665,0.958,0.325,0.0361,133.14,3QkVkQSFbvq2ACymmljGJb,https://p.scdn.co/mp3-preview/f6e056edc551a5b73cb33f823e183d39e66893fe?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:3QkVkQSFbvq2ACymmljGJb
Eter,Eter,0.686,0.884,7,G,-9.884,1,major,0.0588,0.189,0.917,0.307,0.648,141.952,6wsf2vElUVzC5zTJxYW77x,https://p.scdn.co/mp3-preview/8c0868f7ca107ab0ace15f1f6dc600cfca91d690?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6wsf2vElUVzC5zTJxYW77x
I Want To Destroy Something Beautiful,I Want To Destroy Something Beautiful,0.448,0.565,6,F#,-7.934,1,major,0.0319,0.0389,7.77e-6,0.089,0.106,144.056,45zaCeII3wUZBgwzQBoMng,https://p.scdn.co/mp3-preview/3e5384b6420f5bad4ce5979d39041ca27a20a523?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:45zaCeII3wUZBgwzQBoMng
Talking to Myself (Patrick Moore Mix),Talking to Myself (Patrick Moore Mix),0.794,0.95,10,A#,-13.183,0,minor,0.0617,0.0326,0.913,0.318,0.234,123.976,27dqMeYCs3YGQSAO5zuRen,https://p.scdn.co/mp3-preview/288de47440b5cb6accc76a370aadf48033831e16?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:27dqMeYCs3YGQSAO5zuRen
Aqua,Aqua,0.622,0.894,10,A#,-10.635,0,minor,0.0432,0.241,0.899,0.1,0.302,142.028,2RJHvwcvaSIxkPE4ZZgPR8,https://p.scdn.co/mp3-preview/12e27069be662ad9a464c391491f1cf1f74a6cb0?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2RJHvwcvaSIxkPE4ZZgPR8
The Night Ahead,The Night Ahead,0.572,0.555,5,F,-11.995,0,minor,0.0308,0.113,0.13,0.232,0.276,130.087,0ZdUdT9JVpnNnz33epRxmd,https://p.scdn.co/mp3-preview/1a26a97975c3c0a6b548d4796143e1550d481f86?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0ZdUdT9JVpnNnz33epRxmd
Hungaria,Hungaria,0.94,0.472,2,D,-6.638,1,major,0.0815,0.848,0.852,0.0969,0.884,120.146,63t5ckxexn21dzDt857cAf,https://p.scdn.co/mp3-preview/acb9c0b5d7b828619299aac27ab7f6f701c1a8c7?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:63t5ckxexn21dzDt857cAf
Forward,Forward,0.676,0.591,8,G#,-7.717,0,minor,0.0288,0.0152,0.513,0.083,0.646,97.488,4HkwnTVDlQ3Qxa8pNaTkZM,https://p.scdn.co/mp3-preview/e6640bf51e746d904d129eb5ec4f0096af23cf6b?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:4HkwnTVDlQ3Qxa8pNaTkZM
It Smells Like Chamomile Tea,It Smells Like Chamomile Tea,0.722,0.0462,9,A,-19.461,0,minor,0.0606,0.985,0.934,0.0637,0.182,69.974,2H9ocxJEMarppEnieMKNiX,https://p.scdn.co/mp3-preview/6dac8a773526ce880303cd60465963a3ddd40cd4?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:2H9ocxJEMarppEnieMKNiX
Winter Sunshine,Winter Sunshine,0.254,0.07,0,C,-24.289,1,major,0.042,0.995,0.929,0.0946,0.0768,93.44,6C2lU5SQQcmAjINZGMNsJy,https://p.scdn.co/mp3-preview/2c9e7fd819235c8c7dfadafc56e4a782a5ac7542?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:6C2lU5SQQcmAjINZGMNsJy
Que Paciencia!,Que Paciencia!,0.571,0.812,0,C,-6.087,0,minor,0.256,0.403,1.56e-5,0.192,0.902,203.597,17ORoJBeeWZuhm4G4HahYw,https://p.scdn.co/mp3-preview/ca82fbbe80e64cd0bd28b605e4463ea1cf868d64?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:17ORoJBeeWZuhm4G4HahYw
Scattered Knowledge,Scattered Knowledge,0.451,0.504,1,C#,-13.192,0,minor,0.0351,0.0376,0.876,0.0849,0.174,88.021,0VHU5r5ygB9W1eolsHgAlV,https://p.scdn.co/mp3-preview/055805c2e705c3724d9b8a81e4548e2cabf0c402?cid=71df4006c91441bc8755ad3b5b9bd0d2,spotify:track:0VHU5r5ygB9W1eolsHgAlV
